image_id,varroa_present,confidence,bbox_count
bee_0000.jpg,0,0.764,0
bee_0001.jpg,0,0.855,0
bee_0002.jpg,1,0.697,2
bee_0003.jpg,0,0.895,0
bee_0004.jpg,0,0.979,0
bee_0005.jpg,0,0.702,0
bee_0006.jpg,0,0.849,0
bee_0007.jpg,0,0.898,0
bee_0008.jpg,0,0.812,0
bee_0009.jpg,1,0.714,2
bee_0010.jpg,0,0.684,0
bee_0011.jpg,0,0.852,0
bee_0012.jpg,0,0.787,0
bee_0013.jpg,1,0.927,1
bee_0014.jpg,0,0.635,0
bee_0015.jpg,0,0.613,0
bee_0016.jpg,0,0.745,0
bee_0017.jpg,0,0.785,0
bee_0018.jpg,0,0.849,0
bee_0019.jpg,0,0.644,0
bee_0020.jpg,1,0.829,1
bee_0021.jpg,0,0.917,0
bee_0022.jpg,0,0.955,0
bee_0023.jpg,0,0.951,0
bee_0024.jpg,0,0.802,0
bee_0025.jpg,0,0.951,0
bee_0026.jpg,0,0.810,0
bee_0027.jpg,1,0.629,2
bee_0028.jpg,1,0.980,1
bee_0029.jpg,1,0.601,3
bee_0030.jpg,0,0.711,0
bee_0031.jpg,0,0.618,0
bee_0032.jpg,1,0.812,4
bee_0033.jpg,1,0.821,2
bee_0034.jpg,0,0.849,0
bee_0035.jpg,0,0.655,0
bee_0036.jpg,1,0.607,4
bee_0037.jpg,0,0.704,0
bee_0038.jpg,0,0.620,0
bee_0039.jpg,1,0.614,2
bee_0040.jpg,1,0.703,1
bee_0041.jpg,1,0.990,4
bee_0042.jpg,1,0.913,1
bee_0043.jpg,1,0.741,3
bee_0044.jpg,1,0.747,3
bee_0045.jpg,0,0.963,0
bee_0046.jpg,0,0.858,0
bee_0047.jpg,1,0.926,1
bee_0048.jpg,0,0.937,0
bee_0049.jpg,0,0.666,0
bee_0050.jpg,1,0.606,3
bee_0051.jpg,0,0.705,0
bee_0052.jpg,0,0.832,0
bee_0053.jpg,0,0.954,0
bee_0054.jpg,0,0.720,0
bee_0055.jpg,0,0.932,0
bee_0056.jpg,0,0.858,0
bee_0057.jpg,0,0.855,0
bee_0058.jpg,0,0.879,0
bee_0059.jpg,0,0.799,0
bee_0060.jpg,1,0.863,1
bee_0061.jpg,0,0.909,0
bee_0062.jpg,1,0.830,1
bee_0063.jpg,0,0.615,0
bee_0064.jpg,0,0.799,0
bee_0065.jpg,0,0.833,0
bee_0066.jpg,0,0.941,0
bee_0067.jpg,1,0.602,2
bee_0068.jpg,1,0.619,3
bee_0069.jpg,0,0.743,0
bee_0070.jpg,0,0.913,0
bee_0071.jpg,1,0.789,3
bee_0072.jpg,0,0.719,0
bee_0073.jpg,0,0.870,0
bee_0074.jpg,0,0.797,0
bee_0075.jpg,1,0.824,2
bee_0076.jpg,1,0.767,2
bee_0077.jpg,1,0.883,3
bee_0078.jpg,0,0.606,0
bee_0079.jpg,0,0.601,0
bee_0080.jpg,1,0.866,4
bee_0081.jpg,0,0.610,0
bee_0082.jpg,0,0.732,0
bee_0083.jpg,0,0.743,0
bee_0084.jpg,1,0.839,4
bee_0085.jpg,0,0.901,0
bee_0086.jpg,0,0.921,0
bee_0087.jpg,0,0.709,0
bee_0088.jpg,0,0.663,0
bee_0089.jpg,1,0.983,4
bee_0090.jpg,0,0.617,0
bee_0091.jpg,0,0.917,0
bee_0092.jpg,0,0.608,0
bee_0093.jpg,0,0.789,0
bee_0094.jpg,1,0.850,2
bee_0095.jpg,0,0.786,0
bee_0096.jpg,0,0.820,0
bee_0097.jpg,1,0.610,1
bee_0098.jpg,0,0.660,0
bee_0099.jpg,0,0.816,0
bee_0100.jpg,0,0.923,0
bee_0101.jpg,0,0.814,0
bee_0102.jpg,0,0.795,0
bee_0103.jpg,0,0.985,0
bee_0104.jpg,1,0.752,2
bee_0105.jpg,1,0.750,1
bee_0106.jpg,1,0.629,3
bee_0107.jpg,1,0.905,1
bee_0108.jpg,0,0.626,0
bee_0109.jpg,0,0.653,0
bee_0110.jpg,0,0.622,0
bee_0111.jpg,0,0.675,0
bee_0112.jpg,0,0.771,0
bee_0113.jpg,1,0.616,4
bee_0114.jpg,0,0.760,0
bee_0115.jpg,0,0.788,0
bee_0116.jpg,0,0.643,0
bee_0117.jpg,0,0.622,0
bee_0118.jpg,1,0.723,1
bee_0119.jpg,1,0.854,3
bee_0120.jpg,0,0.837,0
bee_0121.jpg,0,0.649,0
bee_0122.jpg,0,0.636,0
bee_0123.jpg,0,0.673,0
bee_0124.jpg,0,0.941,0
bee_0125.jpg,1,0.963,2
bee_0126.jpg,0,0.803,0
bee_0127.jpg,0,0.952,0
bee_0128.jpg,0,0.651,0
bee_0129.jpg,1,0.856,2
bee_0130.jpg,1,0.853,1
bee_0131.jpg,0,0.775,0
bee_0132.jpg,1,0.888,1
bee_0133.jpg,1,0.785,2
bee_0134.jpg,1,0.934,4
bee_0135.jpg,1,0.653,4
bee_0136.jpg,0,0.607,0
bee_0137.jpg,1,0.747,1
bee_0138.jpg,0,0.650,0
bee_0139.jpg,0,0.670,0
bee_0140.jpg,0,0.619,0
bee_0141.jpg,0,0.768,0
bee_0142.jpg,0,0.888,0
bee_0143.jpg,0,0.817,0
bee_0144.jpg,0,0.739,0
bee_0145.jpg,0,0.605,0
bee_0146.jpg,0,0.799,0
bee_0147.jpg,0,0.728,0
bee_0148.jpg,0,0.693,0
bee_0149.jpg,0,0.776,0
bee_0150.jpg,1,0.666,1
bee_0151.jpg,1,0.725,2
bee_0152.jpg,0,0.961,0
bee_0153.jpg,1,0.838,3
bee_0154.jpg,0,0.986,0
bee_0155.jpg,0,0.845,0
bee_0156.jpg,1,0.638,2
bee_0157.jpg,0,0.860,0
bee_0158.jpg,0,0.938,0
bee_0159.jpg,0,0.956,0
bee_0160.jpg,1,0.816,3
bee_0161.jpg,0,0.647,0
bee_0162.jpg,0,0.851,0
bee_0163.jpg,0,0.656,0
bee_0164.jpg,1,0.622,4
bee_0165.jpg,0,0.683,0
bee_0166.jpg,0,0.638,0
bee_0167.jpg,0,0.774,0
bee_0168.jpg,0,0.968,0
bee_0169.jpg,0,0.858,0
bee_0170.jpg,0,0.871,0
bee_0171.jpg,1,0.913,3
bee_0172.jpg,0,0.693,0
bee_0173.jpg,1,0.823,4
bee_0174.jpg,0,0.878,0
bee_0175.jpg,1,0.719,2
bee_0176.jpg,0,0.751,0
bee_0177.jpg,0,0.874,0
bee_0178.jpg,0,0.915,0
bee_0179.jpg,0,0.741,0
bee_0180.jpg,0,0.844,0
bee_0181.jpg,1,0.859,3
bee_0182.jpg,0,0.962,0
bee_0183.jpg,0,0.907,0
bee_0184.jpg,1,0.676,3
bee_0185.jpg,0,0.844,0
bee_0186.jpg,0,0.974,0
bee_0187.jpg,0,0.748,0
bee_0188.jpg,1,0.898,3
bee_0189.jpg,0,0.810,0
bee_0190.jpg,0,0.771,0
bee_0191.jpg,0,0.822,0
bee_0192.jpg,0,0.766,0
bee_0193.jpg,0,0.724,0
bee_0194.jpg,0,0.897,0
bee_0195.jpg,1,0.808,4
bee_0196.jpg,0,0.965,0
bee_0197.jpg,1,0.603,3
bee_0198.jpg,0,0.900,0
bee_0199.jpg,0,0.661,0
bee_0200.jpg,1,0.897,1
bee_0201.jpg,0,0.939,0
bee_0202.jpg,0,0.906,0
bee_0203.jpg,0,0.832,0
bee_0204.jpg,1,0.648,1
bee_0205.jpg,0,0.975,0
bee_0206.jpg,0,0.727,0
bee_0207.jpg,0,0.611,0
bee_0208.jpg,0,0.601,0
bee_0209.jpg,0,0.888,0
bee_0210.jpg,1,0.925,1
bee_0211.jpg,0,0.913,0
bee_0212.jpg,1,0.818,1
bee_0213.jpg,0,0.846,0
bee_0214.jpg,0,0.954,0
bee_0215.jpg,0,0.859,0
bee_0216.jpg,1,0.737,3
bee_0217.jpg,0,0.971,0
bee_0218.jpg,0,0.977,0
bee_0219.jpg,1,0.845,1
bee_0220.jpg,0,0.821,0
bee_0221.jpg,0,0.965,0
bee_0222.jpg,1,0.903,1
bee_0223.jpg,0,0.646,0
bee_0224.jpg,0,0.974,0
bee_0225.jpg,1,0.883,3
bee_0226.jpg,0,0.888,0
bee_0227.jpg,1,0.756,1
bee_0228.jpg,0,0.603,0
bee_0229.jpg,0,0.706,0
bee_0230.jpg,1,0.729,4
bee_0231.jpg,0,0.778,0
bee_0232.jpg,0,0.874,0
bee_0233.jpg,0,0.776,0
bee_0234.jpg,0,0.745,0
bee_0235.jpg,1,0.697,1
bee_0236.jpg,0,0.900,0
bee_0237.jpg,1,0.907,4
bee_0238.jpg,0,0.742,0
bee_0239.jpg,1,0.685,3
bee_0240.jpg,0,0.686,0
bee_0241.jpg,0,0.858,0
bee_0242.jpg,0,0.901,0
bee_0243.jpg,1,0.906,1
bee_0244.jpg,1,0.940,1
bee_0245.jpg,0,0.894,0
bee_0246.jpg,0,0.790,0
bee_0247.jpg,0,0.704,0
bee_0248.jpg,1,0.746,4
bee_0249.jpg,1,0.711,2
bee_0250.jpg,0,0.639,0
bee_0251.jpg,0,0.656,0
bee_0252.jpg,0,0.605,0
bee_0253.jpg,1,0.677,3
bee_0254.jpg,1,0.926,1
bee_0255.jpg,0,0.809,0
bee_0256.jpg,0,0.752,0
bee_0257.jpg,1,0.693,3
bee_0258.jpg,0,0.830,0
bee_0259.jpg,0,0.980,0
bee_0260.jpg,0,0.736,0
bee_0261.jpg,0,0.931,0
bee_0262.jpg,1,0.966,4
bee_0263.jpg,0,0.907,0
bee_0264.jpg,0,0.831,0
bee_0265.jpg,0,0.718,0
bee_0266.jpg,1,0.613,1
bee_0267.jpg,1,0.887,2
bee_0268.jpg,0,0.973,0
bee_0269.jpg,1,0.869,3
bee_0270.jpg,0,0.614,0
bee_0271.jpg,1,0.654,4
bee_0272.jpg,0,0.753,0
bee_0273.jpg,1,0.986,1
bee_0274.jpg,0,0.633,0
bee_0275.jpg,0,0.724,0
bee_0276.jpg,1,0.815,3
bee_0277.jpg,0,0.644,0
bee_0278.jpg,1,0.646,3
bee_0279.jpg,0,0.627,0
bee_0280.jpg,0,0.796,0
bee_0281.jpg,1,0.712,3
bee_0282.jpg,1,0.615,2
bee_0283.jpg,0,0.796,0
bee_0284.jpg,1,0.885,1
bee_0285.jpg,0,0.861,0
bee_0286.jpg,1,0.867,4
bee_0287.jpg,0,0.815,0
bee_0288.jpg,1,0.905,1
bee_0289.jpg,0,0.624,0
bee_0290.jpg,0,0.674,0
bee_0291.jpg,1,0.874,3
bee_0292.jpg,1,0.731,2
bee_0293.jpg,0,0.693,0
bee_0294.jpg,0,0.611,0
bee_0295.jpg,0,0.939,0
bee_0296.jpg,0,0.927,0
bee_0297.jpg,0,0.624,0
bee_0298.jpg,0,0.719,0
bee_0299.jpg,1,0.684,2
bee_0300.jpg,1,0.681,3
bee_0301.jpg,1,0.701,3
bee_0302.jpg,0,0.716,0
bee_0303.jpg,0,0.876,0
bee_0304.jpg,0,0.978,0
bee_0305.jpg,1,0.618,1
bee_0306.jpg,0,0.726,0
bee_0307.jpg,0,0.860,0
bee_0308.jpg,0,0.719,0
bee_0309.jpg,0,0.675,0
bee_0310.jpg,0,0.665,0
bee_0311.jpg,0,0.833,0
bee_0312.jpg,0,0.659,0
bee_0313.jpg,0,0.638,0
bee_0314.jpg,0,0.892,0
bee_0315.jpg,0,0.734,0
bee_0316.jpg,1,0.949,1
bee_0317.jpg,0,0.794,0
bee_0318.jpg,1,0.651,2
bee_0319.jpg,0,0.675,0
bee_0320.jpg,0,0.944,0
bee_0321.jpg,0,0.649,0
bee_0322.jpg,1,0.723,2
bee_0323.jpg,0,0.718,0
bee_0324.jpg,1,0.985,2
bee_0325.jpg,0,0.980,0
bee_0326.jpg,0,0.870,0
bee_0327.jpg,1,0.692,1
bee_0328.jpg,0,0.670,0
bee_0329.jpg,1,0.623,2
bee_0330.jpg,0,0.624,0
bee_0331.jpg,1,0.967,3
bee_0332.jpg,0,0.835,0
bee_0333.jpg,0,0.677,0
bee_0334.jpg,0,0.905,0
bee_0335.jpg,0,0.630,0
bee_0336.jpg,1,0.804,4
bee_0337.jpg,1,0.676,3
bee_0338.jpg,1,0.775,1
bee_0339.jpg,0,0.689,0
bee_0340.jpg,0,0.653,0
bee_0341.jpg,0,0.961,0
bee_0342.jpg,0,0.959,0
bee_0343.jpg,0,0.792,0
bee_0344.jpg,0,0.907,0
bee_0345.jpg,0,0.679,0
bee_0346.jpg,1,0.755,3
bee_0347.jpg,1,0.688,4
bee_0348.jpg,0,0.633,0
bee_0349.jpg,1,0.765,4
bee_0350.jpg,0,0.891,0
bee_0351.jpg,1,0.890,1
bee_0352.jpg,0,0.773,0
bee_0353.jpg,0,0.774,0
bee_0354.jpg,0,0.835,0
bee_0355.jpg,0,0.964,0
bee_0356.jpg,0,0.659,0
bee_0357.jpg,0,0.758,0
bee_0358.jpg,1,0.953,4
bee_0359.jpg,1,0.814,1
bee_0360.jpg,0,0.909,0
bee_0361.jpg,0,0.780,0
bee_0362.jpg,0,0.959,0
bee_0363.jpg,0,0.947,0
bee_0364.jpg,0,0.774,0
bee_0365.jpg,0,0.602,0
bee_0366.jpg,0,0.821,0
bee_0367.jpg,1,0.680,3
bee_0368.jpg,1,0.694,4
bee_0369.jpg,0,0.768,0
bee_0370.jpg,1,0.775,1
bee_0371.jpg,1,0.936,4
bee_0372.jpg,1,0.612,2
bee_0373.jpg,0,0.715,0
bee_0374.jpg,0,0.847,0
bee_0375.jpg,0,0.843,0
bee_0376.jpg,1,0.724,4
bee_0377.jpg,0,0.669,0
bee_0378.jpg,1,0.708,4
bee_0379.jpg,1,0.948,4
bee_0380.jpg,1,0.703,1
bee_0381.jpg,0,0.792,0
bee_0382.jpg,0,0.968,0
bee_0383.jpg,0,0.646,0
bee_0384.jpg,0,0.940,0
bee_0385.jpg,0,0.890,0
bee_0386.jpg,0,0.789,0
bee_0387.jpg,0,0.970,0
bee_0388.jpg,1,0.629,2
bee_0389.jpg,1,0.933,2
bee_0390.jpg,0,0.677,0
bee_0391.jpg,0,0.738,0
bee_0392.jpg,1,0.648,2
bee_0393.jpg,0,0.793,0
bee_0394.jpg,0,0.666,0
bee_0395.jpg,0,0.699,0
bee_0396.jpg,1,0.623,1
bee_0397.jpg,0,0.719,0
bee_0398.jpg,1,0.664,4
bee_0399.jpg,0,0.867,0
bee_0400.jpg,0,0.849,0
bee_0401.jpg,1,0.860,3
bee_0402.jpg,0,0.864,0
bee_0403.jpg,0,0.640,0
bee_0404.jpg,0,0.683,0
bee_0405.jpg,0,0.888,0
bee_0406.jpg,0,0.788,0
bee_0407.jpg,0,0.846,0
bee_0408.jpg,1,0.622,4
bee_0409.jpg,0,0.751,0
bee_0410.jpg,1,0.771,4
