Promedio Temperatura,Promedio Humedad,Promedio CO2,Promedio TVCO,Suma de Pesos,Nivel de Alerta General
21.409408020976695,70.09840426592268,1617,318,0.6988335981646887,Muy Alto
32.96418261997427,72.5026556585504,2607,1685,0.5106606225065649,Alto
24.003114718819376,69.54898489804452,596,1399,0.612019544499605,Alto
23.708352591775817,62.360145255641484,429,714,0.5426788864909655,Alto
22.171688477693163,49.896848576563876,1846,947,0.6246272256525504,Muy Alto
22.39334463776258,68.35260634989507,522,2060,0.6789034130150686,Muy Alto
32.07068328864286,50.178181068079844,734,425,0.2529898224248309,Medio
23.423948176136864,66.54894681469804,2047,956,0.6820006070675911,Muy Alto
35.885112919569885,82.72135129701303,2097,1998,0.4608764200803409,Alto
25.301393181749596,47.462594603028805,2886,1018,0.591982673759165,Alto
27.875040714104458,82.57861630062463,959,495,0.5441832674918136,Alto
26.382099813280945,81.68227744129041,1776,1551,0.6829993894789491,Muy Alto
21.801358208024684,75.0585609103007,2732,1396,0.831934905862321,Muy Alto
31.830416644375024,69.13425327071684,1662,587,0.41564666067274325,Alto
27.126695853962758,43.59168650785793,2849,681,0.5034114340217559,Alto
32.93737687240929,63.67751480578306,443,1338,0.3192315838105914,Medio
20.65942405396921,81.2445389285424,586,1968,0.7892649085910856,Muy Alto
36.71599413999308,63.41740453646135,2549,1948,0.37017268460959907,Medio
21.725154432984926,49.158116743395354,915,2165,0.6348610252469133,Muy Alto
20.5029491521313,79.40360861851337,1981,146,0.7832367118245234,Muy Alto
20.31418331285773,41.80735136701089,1355,2334,0.6746054590854884,Muy Alto
25.713505799400828,80.4158623634353,2045,1032,0.6874403918862941,Muy Alto
35.28430096710388,76.84492525749702,682,1237,0.32602875420101635,Medio
32.77027988632875,76.25232030036813,2239,812,0.4695837596558331,Alto
26.14310435560286,55.336221623866,2750,2006,0.645064890134096,Muy Alto
33.37918722516831,64.25665404754223,1305,2213,0.40458296076281697,Alto
29.65781333262636,45.72004584265701,2499,737,0.42331025083394597,Alto
23.00988684333153,47.17710809853565,1864,1580,0.6193973862829768,Alto
30.56224924769416,50.49808359484248,1102,483,0.32254658720270285,Medio
33.48354991376746,45.4783221222651,1246,2425,0.318045487083212,Medio
27.23343083502969,73.36215062060202,2789,387,0.6254916604875538,Muy Alto
35.239285370971515,35.63553390174247,2478,2422,0.29689778121315,Medio
35.83536158987745,80.46364301098711,1066,51,0.2945420098878726,Medio
27.03248949169896,59.749988770044574,1015,1717,0.5204976907649854,Alto
26.69788899209785,72.84935149258055,2341,505,0.6162461753513071,Alto
30.570565716911922,54.24033148987946,2184,588,0.41189917452911196,Alto
33.60419829030177,54.482787622676454,1329,1916,0.3385360713966161,Medio
29.258393007631412,70.04385901304414,2356,813,0.5461903044046027,Alto
27.07161966070366,82.9818993182299,1913,1421,0.6719595480270926,Muy Alto
29.006841741582434,53.522913018658045,2961,1595,0.5487591568448781,Alto
32.92255351558376,78.97452056690138,1623,688,0.4344911379191237,Alto
25.417148622825906,50.21242539773073,2787,2039,0.6448291649569191,Muy Alto
20.4686209139512,54.31757646776826,796,1722,0.6665179484794257,Muy Alto
30.467893875531676,69.44636328784341,927,1333,0.4461932506444644,Alto
