Promedio Temperatura,Promedio Humedad,Promedio CO2,Promedio TVCO,Suma,Alerta predicha
0.4402049499959522,0.16847234047642887,0.07489230769230769,0.015264,0.6988335981646887,Muy Alto
0.11395249073013834,0.18001274716104188,0.13581538461538462,0.08088000000000001,0.5106606225065649,Alto
0.3669708785274529,0.1658351275106137,0.012061538461538462,0.06715199999999999,0.612019544499605,Alto
0.37529357387927104,0.13132869722707916,0.0017846153846153845,0.034272000000000004,0.5426788864909655,Alto
0.41868173710042833,0.07150487316750664,0.08898461538461538,0.045456,0.6246272256525504,Muy Alto
0.41242321022788003,0.16009251047949632,0.007507692307692307,0.09888,0.6789034130150686,Muy Alto
0.13918070714420155,0.07285526912678322,0.020553846153846155,0.0204,0.2529898224248309,Medio
0.3833238162031944,0.1514349447105506,0.10135384615384614,0.045888,0.6820006070675911,Muy Alto
0.031479164623909144,0.22906248622566255,0.10443076923076923,0.095904,0.4608764200803409,Alto
0.3303136042800113,0.05982045409453826,0.15298461538461539,0.048864,0.5919826737591649,Alto
0.2576459092488153,0.22837735824299824,0.0344,0.02376,0.5441832674918136,Alto
0.29979953468383214,0.22407493171819395,0.08467692307692308,0.07444799999999999,0.6829993894789491,Muy Alto
0.42913812118518535,0.19228109236944335,0.1435076923076923,0.067008,0.831934905862321,Muy Alto
0.14596470651176402,0.16384441569944083,0.07766153846153846,0.028176,0.41564666067274325,Alto
0.2787756464763455,0.04124009523771806,0.15070769230769232,0.032687999999999995,0.5034114340217559,Alto
0.11470935889667891,0.13765207106775867,0.0026461538461538463,0.064224,0.3192315838105914,Medio
0.46138096788792815,0.22197378685700347,0.011446153846153845,0.09446399999999999,0.7892649085910856,Muy Alto
0.008018988988430719,0.13640354177501446,0.13224615384615385,0.093504,0.37017268460959907,Medio
0.43128975718630785,0.06795896036829772,0.03169230769230769,0.10392,0.6348610252469133,Muy Alto
0.4657990827633515,0.21313732136886418,0.09729230769230769,0.0070079999999999995,0.7832367118245234,Muy Alto
0.4711289417546053,0.032675286561652264,0.058769230769230775,0.11203199999999999,0.6746054590854884,Muy Alto
0.3186774833110354,0.21799613934448941,0.10123076923076924,0.049536,0.6874403918862941,Muy Alto
0.04844326681118453,0.2008556412359857,0.017353846153846154,0.059376,0.32602875420101635,Medio
0.11942739144483525,0.19801113744176702,0.11316923076923077,0.038976,0.4695837596558331,Alto
0.30654764172415455,0.0976138637945568,0.14461538461538462,0.096288,0.645064890134096,Muy Alto
0.10223471364230657,0.1404319394282027,0.055692307692307694,0.106224,0.40458296076281697,Alto
0.20730880001996155,0.051456220044753635,0.12916923076923076,0.035376,0.42331025083394597,Alto
0.395014959717698,0.05845011887297111,0.09009230769230768,0.07584,0.6193973862829768,Alto
0.18177178594745896,0.07439080125524389,0.0432,0.023184,0.32254658720270285,Medio
